size,total_sqft,bath,bhk,price_per_sqft,price_total
2 BHK,1056.0,2.0,2,3699.810606060606,3907000.0
4 Bedroom,2600.0,5.0,4,4615.384615384615,12000000.0
3 BHK,1440.0,2.0,3,4305.555555555556,6200000.0
3 BHK,1521.0,3.0,3,6245.890861275477,9500000.0
2 BHK,1200.0,2.0,2,4250.0,5100000.0
2 BHK,1170.0,2.0,2,3247.863247863248,3800000.0
4 BHK,2732.0,4.0,4,7467.0571010248905,20400000.0
4 BHK,3300.0,4.0,4,18181.81818181818,60000000.0
3 BHK,1310.0,3.0,3,4828.244274809161,6325000.0
6 Bedroom,1020.0,6.0,6,36274.509803921566,37000000.0
3 BHK,1800.0,2.0,3,3888.8888888888887,7000000.0
4 Bedroom,2785.0,5.0,4,10592.45960502693,29500000.0
2 BHK,1000.0,2.0,2,3800.0,3800000.0
2 BHK,1100.0,2.0,2,3636.3636363636365,4000000.0
3 Bedroom,2250.0,3.0,3,6577.777777777777,14800000.0
2 BHK,1175.0,2.0,2,6255.31914893617,7350000.0
3 BHK,1180.0,3.0,3,4067.7966101694915,4800000.0
3 BHK,1540.0,3.0,3,3896.103896103896,6000000.0
3 BHK,2770.0,4.0,3,10469.314079422382,29000000.0
2 BHK,1100.0,2.0,2,4363.636363636364,4800000.0
1 BHK,600.0,1.0,1,2500.0,1500000.0
3 BHK,1755.0,3.0,3,6951.5669515669515,12200000.0
4 Bedroom,2800.0,5.0,4,13571.42857142857,38000000.0
3 BHK,1767.0,3.0,3,5829.088851160159,10300000.0
1 RK,510.0,1.0,1,4950.980392156863,2525000.0
3 BHK,1250.0,3.0,3,4480.0,5600000.0
2 BHK,660.0,1.0,2,3500.0,2310000.0
3 BHK,1610.0,3.0,3,5031.055900621118,8100000.0
2 BHK,1151.0,2.0,2,4237.185056472633,4877000.0
3 BHK,1025.0,2.0,3,4585.365853658536,4700000.0
4 BHK,2475.0,4.0,4,7515.151515151515,18600000.0
3 BHK,1075.0,2.0,3,3255.813953488372,3500000.0
3 BHK,1760.0,2.0,3,6988.636363636364,12300000.0
